NUMERO_ISCRIZIONE_D;NUMERO_ISCRIZIONE_A;DATA_CONFERIMENTO;CODICE_COMPAGNIA;RAGIONE_SOCIALE
D000079527;A000640759;2007-03-15 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027031;A000307194;2023-10-11 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000079986;A000674764;2007-03-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000233765;A000192401;2007-12-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027120;A000558336;2021-11-10 00:00:00;D908R;COMPAGNIE FRANÇAISE D'ASSURANCE POUR LE COMMERCE EXTÉRIEUR S.A. (COFACE)
D000027120;A000558336;2021-11-10 00:00:00;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;A402S;BANCO BPM VITA S.P.A
D000027105;A000000780;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
D000027120;A000558336;2021-11-10 00:00:00;A292S;HELVETIA ITALIA ASSICURAZIONI S.P.A.
D000027120;A000558332;2021-11-10 00:00:00;D866R;ZURICH INSURANCE EUROPE AG
D000552871;A000006677;2016-07-05 00:00:00;A418S;BCC ASSICURAZIONI S.P.A.
