OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
2735;A000012500;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2736;A000012505;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2737;A000012505;A439S;NET INSURANCE S.P.A.
2738;A000012505;C399R;INTER PARTNER ASSISTANCE SA
2739;A000012506;A055X;HDI ASSICURAZIONI S.P.A.
2740;A000012506;A213S;ATHORA ITALIA S.P.A.
2741;A000012506;A339S;CNP VITA ASSICURA S.P.A.
2742;A000012506;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2743;A000012506;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
2744;A000012506;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2745;A000012507;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
2746;A000012511;A342S;UNISALUTE S.P.A.
2747;A000012511;A505S;UNIPOL ASSICURAZIONI S.P.A.
2748;A000012515;A342S;UNISALUTE S.P.A.
2749;A000012515;A505S;UNIPOL ASSICURAZIONI S.P.A.
2750;A000012517;A342S;UNISALUTE S.P.A.
2751;A000012517;A505S;UNIPOL ASSICURAZIONI S.P.A.
2752;A000012518;A044S;GENERALI ITALIA S.P.A.
2753;A000012518;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2754;A000012518;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2755;A000012521;A044S;GENERALI ITALIA S.P.A.
2756;A000012521;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
2757;A000012521;A292S;HELVETIA ITALIA ASSICURAZIONI S.P.A.
