OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
2474;A000012337;A014S;ASSICURAZIONI GENERALI SOCIETA' PER AZIONI
2475;A000012337;A044S;GENERALI ITALIA S.P.A.
2476;A000012337;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
2477;A000012337;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2478;A000012337;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2479;A000012337;A419S;INTESA SANPAOLO PROTEZIONE S.P.A.
2480;A000012337;A458S;SACE BT S.P.A.
2481;A000012337;A463S;ALLIANZ SOCIETA' PER AZIONI
2482;A000012337;A492S;S2C S.P.A. COMPAGNIA DI ASSICURAZIONI DI CREDITI E CAUZIONI
2483;A000012337;C218R;HDI GLOBAL SE
2484;A000012337;D861R;ROLAND RECHTSSCHUTZ VERSICHERUNG AG
2485;A000012337;D866R;ZURICH INSURANCE EUROPE AG
2486;A000012337;D875R;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE
2487;A000012337;D880R;SWISS RE INTERNATIONAL S.E.
2488;A000012337;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2489;A000012337;D924R;HDI GLOBAL SPECIALTY SE
2490;A000012337;D947R;AIG EUROPE S.A.
2491;A000012337;D957R;CHUBB EUROPEAN GROUP SE
2492;A000012337;D962R;XL INSURANCE COMPANY SE
2493;A000012338;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2494;A000012338;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2495;A000012339;A135S;VITTORIA ASSICURAZIONI S.P.A.
2496;A000012340;A342S;UNISALUTE S.P.A.
2497;A000012340;A505S;UNIPOL ASSICURAZIONI S.P.A.
2498;A000012348;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2499;A000012348;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
2500;A000012348;A183S;ITAS VITA S.P.A.
2501;A000012348;A463S;ALLIANZ SOCIETA' PER AZIONI
2502;A000012348;D891R;AWP P&C S.A.
2503;A000012348;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2504;A000012349;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
2505;A000012349;A294S;SARA VITA S.P.A.
2506;A000012353;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2507;A000012353;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2508;A000012353;A463S;ALLIANZ SOCIETA' PER AZIONI
2509;A000012353;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
2510;A000012353;D866R;ZURICH INSURANCE EUROPE AG
2511;A000012353;D891R;AWP P&C S.A.
2512;A000012353;X497R;ZURICH INSURANCE COMPANY LTD
2513;A000012357;A077S;ZURICH INVESTMENTS LIFE S.P.A.
2514;A000012357;A226S;SLP - ASSICURAZIONI SPESE LEGALI PERITALI E RISCHI ACCESSORI S.P.A.
2515;A000012357;D866R;ZURICH INSURANCE EUROPE AG
2516;A000012357;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
2517;A000012357;X497R;ZURICH INSURANCE COMPANY LTD
2518;A000012360;A342S;UNISALUTE S.P.A.
2519;A000012360;A505S;UNIPOL ASSICURAZIONI S.P.A.
2520;A000012361;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2521;A000012361;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2522;A000012361;A395S;GLOBAL ASSISTANCE COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2523;A000012361;D846R;VEREINIGTE HAGELVERSICHERUNG VVAG
2524;A000012363;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2525;A000012363;A339S;CNP VITA ASSICURA S.P.A.
2526;A000012363;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
2527;A000012363;A463S;ALLIANZ SOCIETA' PER AZIONI
2528;A000012363;A505S;UNIPOL ASSICURAZIONI S.P.A.
2529;A000012363;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2530;A000012363;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2531;A000012365;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2532;A000012365;A077S;ZURICH INVESTMENTS LIFE S.P.A.
2533;A000012365;A339S;CNP VITA ASSICURA S.P.A.
2534;A000012365;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2535;A000012365;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
2536;A000012365;A463S;ALLIANZ SOCIETA' PER AZIONI
2537;A000012365;A484S;TUTELA LEGALE S.P.A.
2538;A000012365;D866R;ZURICH INSURANCE EUROPE AG
2539;A000012365;D891R;AWP P&C S.A.
