NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000027175;BANCA DI CREDITO COOPERATIVO DEGLI ULIVI TERRA DI BARI S.C.;LOCONTE VITO
D000533651;BANCA DI CREDITO COOPERATIVO DEI CASTELLI E DEGLI IBLEI;DELIA FILIPPO
D000027103;BANCA DI CREDITO COOPERATIVO DEI CASTELLI ROMANI E DEL TUSCOLO S.C.;MECONI MARIA CRISTINA
D000026980;BANCA DI CREDITO COOPERATIVO DEL BASSO SEBINO S.C.;PEDRETTI CLAUDIA
D000441454;BANCA DI CREDITO COOPERATIVO DEL CIRCEO E PRIVERNATE SOC. COOP.;CUOMO GIUSEPPE
D000026932;BANCA DI CREDITO COOPERATIVO DEL METAURO;LUZI SARA
D000027219;BANCA DI CREDITO COOPERATIVO DELL' OGLIO E DEL SERIO S.C.;CHIAMETTI PAOLO
D000027219;BANCA DI CREDITO COOPERATIVO DELL' OGLIO E DEL SERIO S.C.;PREVITALI GIOVANNA
D000080048;BANCA DI CREDITO COOPERATIVO DELL'ADRIATICO TERAMANO;DI FILIPPO LUISELLA
D000027006;BANCA DI CREDITO COOPERATIVO DELLA PROVINCIA ROMANA SOCIETÀ COOPERATIVA;CANTONI FABRIZIO
D000027006;BANCA DI CREDITO COOPERATIVO DELLA PROVINCIA ROMANA SOCIETÀ COOPERATIVA;Mastroianni  Antimo
D000027006;BANCA DI CREDITO COOPERATIVO DELLA PROVINCIA ROMANA SOCIETÀ COOPERATIVA;PERO FABRIZIO
D000027075;BANCA DI CREDITO COOPERATIVO DELLA ROMAGNA OCCIDENTALE;BELLINI CLAUDIO
D000056662;BANCA DI CREDITO COOPERATIVO DELLA VALLE DEL TRIGNO SOCIETA' COOPERATIVA;DEL BORRELLO ELISABETTA
D000052613;BANCA DI CREDITO COOPERATIVO DELLE MADONIE - SOC. COOPERATIVA;Cannizzaro Francesco
D000027026;BANCA DI CREDITO COOPERATIVO DI  BELLEGRA S.C.;CIANI ANTONIO
D000051651;BANCA DI CREDITO COOPERATIVO DI ALBEROBELLO SAMMICHELE E MONOPOLI S.C.;PANARO ANGELA
D000062508;BANCA DI CREDITO COOPERATIVO DI ALTOFONTE;PANDOLFO STEFANO
D000070977;BANCA DI CREDITO COOPERATIVO DI ANAGNI SOCIETA' COOPERATIVA;CASALI LUCA
D000080265;BANCA DI CREDITO COOPERATIVO DI AQUARA;COMUNALE TOMMASO
D000108420;BANCA DI CREDITO COOPERATIVO DI ARBOREA - SOCIETA' COOPERATIVA;PANI PAOLA
D000027055;BANCA DI CREDITO COOPERATIVO DI AVETRANA S.C.;LIA DAVIDE
D000104053;BANCA DI CREDITO COOPERATIVO DI BARLASSINA (SOCIETA' COOPERATIVA);BARBETTA LUIGI
D000027088;BANCA DI CREDITO COOPERATIVO DI BASCIANO SOCIETA' COOPERATIVA;URBANI PASQUALE
D000026924;BANCA DI CREDITO COOPERATIVO DI BRESCIA - SOCIETA' COOPERATIVA;COTELLI ENRICO
D000027231;BANCA DI CREDITO COOPERATIVO DI BUSTO  GAROLFO E BUGUGGIATE;GENTILOMO ROBERTO
D000027231;BANCA DI CREDITO COOPERATIVO DI BUSTO  GAROLFO E BUGUGGIATE;NETTI FABIO
D000074889;BANCA DI CREDITO COOPERATIVO DI CAGLIARI;PILI RAFFAELE
D000060760;BANCA DI CREDITO COOPERATIVO DI CANOSA-LOCONIA;DEFAZIO GIUSEPPE
