OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
5822;A000007430;A000303596;Responsabile dell'attività di intermediazione;
5823;A000005550;A000012422;Responsabile dell'attività di intermediazione;
5824;A000123181;A000123182;Responsabile dell'attività di intermediazione;
5825;A000075043;A000484057;Responsabile dell'attività di intermediazione;
5826;A000006641;A000748945;Responsabile dell'attività di intermediazione;
5827;A000108720;A000108774;Responsabile dell'attività di intermediazione;
5828;A000008685;A000331256;Responsabile dell'attività di intermediazione;
5829;A000110987;A000786086;Responsabile dell'attività di intermediazione;
5830;A000060195;A000060199;Responsabile dell'attività di intermediazione;
5831;A000010228;A000012953;Responsabile dell'attività di intermediazione;
5832;A000154535;A000764980;Responsabile dell'attività di intermediazione;
5833;A000163346;A000446215;Responsabile dell'attività di intermediazione;
5834;B000057790;B000355602;Responsabile dell'attività di intermediazione;
5835;A000167492;A000400856;Responsabile dell'attività di intermediazione;
5836;A000135424;A000299327;Responsabile dell'attività di intermediazione;
5837;A000005528;A000142354;Responsabile dell'attività di intermediazione;
5838;A000074558;A000122773;Responsabile dell'attività di intermediazione;
5839;A000052303;A000111363;Responsabile dell'attività di intermediazione;
5840;A000008347;A000012797;Responsabile dell'attività di intermediazione;
5841;A000131300;A000347659;Responsabile dell'attività di intermediazione;
5842;A000132172;A000131526;Responsabile dell'attività di intermediazione;
5843;A000091027;A000071177;Responsabile dell'attività di intermediazione;
5844;A000053939;A000540883;Responsabile dell'attività di intermediazione;
5845;A000131970;A000642030;Responsabile dell'attività di intermediazione;
5846;A000008439;A000196576;Responsabile dell'attività di intermediazione;
5847;A000008404;A000294723;Responsabile dell'attività di intermediazione;
5848;A000131927;A000131998;Responsabile dell'attività di intermediazione;
5849;A000131928;A000744015;Responsabile dell'attività di intermediazione;
5850;A000006776;A000279499;Responsabile dell'attività di intermediazione;
5851;B000721365;B000828087;Rappresentante Legale;
5852;A000067035;A000314152;Responsabile dell'attività di intermediazione;
5853;A000084598;A000084578;Responsabile dell'attività di intermediazione;
5854;A000067982;A000055609;Responsabile dell'attività di intermediazione;
5855;A000060562;A000449690;Responsabile dell'attività di intermediazione;
5856;A000010307;A000556523;Responsabile dell'attività di intermediazione;
5857;A000124421;A000587606;Responsabile dell'attività di intermediazione;
5858;A000153876;A000606548;Responsabile dell'attività di intermediazione;
5859;A000009217;A000350465;Responsabile dell'attività di intermediazione;
5860;A000007114;A000362182;Responsabile dell'attività di intermediazione;
5861;A000062675;A000076208;Responsabile dell'attività di intermediazione;
5862;A000062675;A000697637;Responsabile dell'attività di intermediazione;
5863;A000075381;A000541371;Responsabile dell'attività di intermediazione;
5864;A000068391;A000767914;Responsabile dell'attività di intermediazione;
5865;A000076867;A000051757;Responsabile dell'attività di intermediazione;
5866;A000076870;A000728800;Responsabile dell'attività di intermediazione;
5867;A000061790;A000680880;Responsabile dell'attività di intermediazione;
5868;B000173480;B000605520;Rappresentante Legale;
5869;A000162731;A000487433;Responsabile dell'attività di intermediazione;
5870;A000168516;A000115766;Responsabile dell'attività di intermediazione;
5871;A000172839;A000268646;Responsabile dell'attività di intermediazione;
5872;A000051759;A000559201;Responsabile dell'attività di intermediazione;
5873;A000603975;A000603629;Responsabile dell'attività di intermediazione;
5874;A000009530;A000560995;Responsabile dell'attività di intermediazione;
5875;A000173988;A000123801;Responsabile dell'attività di intermediazione;
5876;A000072189;A000449690;Responsabile dell'attività di intermediazione;
5877;A000125063;A000636503;Responsabile dell'attività di intermediazione;
5878;A000010143;A000650686;Responsabile dell'attività di intermediazione;
5879;A000154769;A000154934;Responsabile dell'attività di intermediazione;
5880;A000131925;A000280564;Responsabile dell'attività di intermediazione;
5881;A000125023;A000455286;Responsabile dell'attività di intermediazione;
5882;A000076228;A000805771;Responsabile dell'attività di intermediazione;
5883;A000180974;A000781613;Responsabile dell'attività di intermediazione;
5884;A000068295;A000722523;Responsabile dell'attività di intermediazione;
5885;A000173638;A000665904;Responsabile dell'attività di intermediazione;
5886;A000068104;A000504472;Responsabile dell'attività di intermediazione;
5887;A000009446;A000111710;Responsabile dell'attività di intermediazione;
5888;A000058431;A000489884;Responsabile dell'attività di intermediazione;
5889;A000084504;A000084470;Responsabile dell'attività di intermediazione;
5890;A000154910;A000400436;Responsabile dell'attività di intermediazione;
5891;A000010334;A000012905;Responsabile dell'attività di intermediazione;
5892;A000052847;A000120283;Responsabile dell'attività di intermediazione;
5893;A000061576;A000061578;Responsabile dell'attività di intermediazione;
5894;B000184502;B000703190;Responsabile dell'attività di intermediazione;
5895;A000066479;A000391589;Responsabile dell'attività di intermediazione;
5896;A000075825;A000075895;Responsabile dell'attività di intermediazione;
5897;A000009502;A000511476;Responsabile dell'attività di intermediazione;
5898;A000133059;A000449204;Responsabile dell'attività di intermediazione;
5899;A000009145;A000012919;Responsabile dell'attività di intermediazione;
5900;A000080535;A000133575;Responsabile dell'attività di intermediazione;
5901;A000064722;A000639355;Responsabile dell'attività di intermediazione;
5902;A000184461;A000630724;Responsabile dell'attività di intermediazione;
5903;A000118744;A000125114;Responsabile dell'attività di intermediazione;
5904;A000128541;A000121652;Responsabile dell'attività di intermediazione;
5905;A000065334;A000067711;Responsabile dell'attività di intermediazione;
5906;A000063654;A000116187;Responsabile dell'attività di intermediazione;
5907;A000006885;A000672323;Responsabile dell'attività di intermediazione;
5908;B000163006;B000601197;Rappresentante Legale;
5909;A000132180;A000140116;Responsabile dell'attività di intermediazione;
5910;A000155436;A000707743;Responsabile dell'attività di intermediazione;
5911;A000083812;A000083816;Responsabile dell'attività di intermediazione;
5912;A000067403;A000081959;Responsabile dell'attività di intermediazione;
5913;A000009669;A000672323;Responsabile dell'attività di intermediazione;
5914;A000010418;A000060851;Responsabile dell'attività di intermediazione;
5915;A000075762;A000075731;Responsabile dell'attività di intermediazione;
5916;A000170325;A000168576;Responsabile dell'attività di intermediazione;
5917;A000186207;A000114017;Responsabile dell'attività di intermediazione;
5918;A000057655;A000569999;Responsabile dell'attività di intermediazione;
5919;A000091002;A000097991;Responsabile dell'attività di intermediazione;
5920;A000187297;A000446945;Responsabile dell'attività di intermediazione;
5921;A000153916;A000012454;Responsabile dell'attività di intermediazione;
5922;A000075507;A000107860;Responsabile dell'attività di intermediazione;
5923;A000169344;A000529577;Responsabile dell'attività di intermediazione;
5924;A000173323;A000180265;Responsabile dell'attività di intermediazione;
5925;A000066539;A000108005;Responsabile dell'attività di intermediazione;
5926;A000066575;A000138014;Responsabile dell'attività di intermediazione;
5927;A000073283;A000072780;Responsabile dell'attività di intermediazione;
5928;A000066157;A000113671;Responsabile dell'attività di intermediazione;
5929;A000153977;A000438285;Responsabile dell'attività di intermediazione;
5930;A000738102;A000743758;Responsabile dell'attività di intermediazione;
5931;A000061801;A000576788;Responsabile dell'attività di intermediazione;
5932;A000007949;A000402959;Responsabile dell'attività di intermediazione;
5933;A000076812;A000602321;Responsabile dell'attività di intermediazione;
5934;A000071725;A000377822;Responsabile dell'attività di intermediazione;
5935;A000133056;A000162329;Responsabile dell'attività di intermediazione;
5936;A000009848;A000255416;Responsabile dell'attività di intermediazione;
5937;B000007058;B000483930;Responsabile dell'attività di intermediazione;
5938;A000072903;A000072907;Responsabile dell'attività di intermediazione;
5939;A000007702;A000723865;Responsabile dell'attività di intermediazione;
5940;A000131837;A000672666;Responsabile dell'attività di intermediazione;
5941;A000137981;A000590769;Responsabile dell'attività di intermediazione;
5942;A000009366;A000717963;Responsabile dell'attività di intermediazione;
5943;A000008460;A000012531;Responsabile dell'attività di intermediazione;
5944;A000099309;A000631980;Responsabile dell'attività di intermediazione;
5945;A000144382;A000151667;Responsabile dell'attività di intermediazione;
5946;B000144739;B000398343;Responsabile dell'attività di intermediazione;
5947;B000008556;B000070946;Responsabile dell'attività di intermediazione;
5948;A000009562;A000286107;Responsabile dell'attività di intermediazione;
5949;A000062902;A000713398;Responsabile dell'attività di intermediazione;
5950;A000010416;A000061765;Responsabile dell'attività di intermediazione;
5951;A000052999;A000111129;Responsabile dell'attività di intermediazione;
5952;A000061157;A000053304;Responsabile dell'attività di intermediazione;
5953;A000051776;A000619724;Responsabile dell'attività di intermediazione;
5954;A000132791;A000124394;Responsabile dell'attività di intermediazione;
5955;A000064259;A000311000;Responsabile dell'attività di intermediazione;
5956;B000335606;B000783621;Rappresentante Legale;
5957;B000335564;B000822291;Responsabile dell'attività di intermediazione;
5958;A000074062;A000306747;Responsabile dell'attività di intermediazione;
5959;B000088899;B000190757;Responsabile dell'attività di intermediazione;
5960;A000335915;A000797887;Responsabile dell'attività di intermediazione;
5961;A000065183;A000267077;Responsabile dell'attività di intermediazione;
5962;A000005568;A000554370;Responsabile dell'attività di intermediazione;
5963;A000068955;A000066789;Responsabile dell'attività di intermediazione;
5964;A000190285;A000401506;Responsabile dell'attività di intermediazione;
5965;A000288221;A000672322;Responsabile dell'attività di intermediazione;
5966;B000142819;B000144061;Amministratore Delegato;
5967;A000100324;A000100308;Responsabile dell'attività di intermediazione;
5968;B000349897;B000243223;Responsabile dell'attività di intermediazione;
5969;A000329746;A000276557;Responsabile dell'attività di intermediazione;
5970;A000158069;A000066252;Responsabile dell'attività di intermediazione;
5971;B000014209;B000014411;Rappresentante Legale;
5972;B000739904;B000763764;Rappresentante Legale;
5973;A000005150;A000070403;Responsabile dell'attività di intermediazione;
5974;B000354222;B000117871;Responsabile dell'attività di intermediazione;
5975;A000049632;A000197658;Responsabile dell'attività di intermediazione;
5976;B000618887;B000620361;Responsabile dell'attività di intermediazione;
5977;A000008480;A000012771;Responsabile dell'attività di intermediazione;
5978;A000119872;A000640503;Responsabile dell'attività di intermediazione;
5979;A000050544;A000012042;Responsabile dell'attività di intermediazione;
5980;A000130591;A000534104;Responsabile dell'attività di intermediazione;
5981;A000085743;A000731593;Responsabile dell'attività di intermediazione;
5982;B000080165;B000488439;Rappresentante Legale;
5983;A000162149;A000436255;Responsabile dell'attività di intermediazione;
5984;A000157659;A000157658;Responsabile dell'attività di intermediazione;
5985;A000160794;A000616875;Responsabile dell'attività di intermediazione;
5986;A000154225;A000377722;Responsabile dell'attività di intermediazione;
5987;A000304788;A000196468;Responsabile dell'attività di intermediazione;
5988;A000124849;A000599585;Responsabile dell'attività di intermediazione;
5989;A000058006;A000400382;Responsabile dell'attività di intermediazione;
5990;B000118094;B000144061;Responsabile dell'attività di intermediazione;
5991;B000158128;B000478368;Responsabile dell'attività di intermediazione;
5992;B000127094;B000117871;Responsabile dell'attività di intermediazione;
5993;B000083591;B000383521;Responsabile dell'attività di intermediazione;
5994;A000009317;A000712674;Responsabile dell'attività di intermediazione;
5995;A000063543;A000314445;Responsabile dell'attività di intermediazione;
5996;A000139774;A000187281;Responsabile dell'attività di intermediazione;
5997;A000357113;A000156824;Responsabile dell'attività di intermediazione;
5998;A000010019;A000265245;Responsabile dell'attività di intermediazione;
5999;B000003903;B000642697;Responsabile dell'attività di intermediazione;
6000;A000069691;A000238959;Responsabile dell'attività di intermediazione;
6001;A000317282;A000731044;Responsabile dell'attività di intermediazione;
6002;B000013753;B000065127;Rappresentante Legale;
6003;B000362720;B000407465;Responsabile dell'attività di intermediazione;
6004;B000098940;B000055861;Responsabile dell'attività di intermediazione;
6005;B000013356;B000117871;Responsabile dell'attività di intermediazione;
6006;B000082805;B000197920;Responsabile dell'attività di intermediazione;
6007;B000082805;B000197920;Rappresentante Legale;
6008;B000082805;B000167326;Amministratore Delegato;
6009;B000007206;B000615120;Responsabile dell'attività di intermediazione;
6010;B000007206;B000633572;Responsabile dell'attività di intermediazione;
6011;B000097124;B000548946;Responsabile dell'attività di intermediazione;
6012;A000007872;A000653337;Responsabile dell'attività di intermediazione;
6013;A000615746;A000628168;Responsabile dell'attività di intermediazione;
6014;A000195011;A000135296;Responsabile dell'attività di intermediazione;
6015;A000005697;A000253935;Responsabile dell'attività di intermediazione;
6016;B000013897;B000115128;Responsabile dell'attività di intermediazione;
6017;B000014099;B000762006;Rappresentante Legale;
6018;A000100095;A000264887;Responsabile dell'attività di intermediazione;
6019;A000133576;A000128188;Responsabile dell'attività di intermediazione;
6020;A000070961;A000109416;Responsabile dell'attività di intermediazione;
6021;B000053125;B000014429;Rappresentante Legale;
6022;A000083409;A000742053;Responsabile dell'attività di intermediazione;
6023;A000084762;A000128111;Responsabile dell'attività di intermediazione;
6024;A000161110;A000144009;Responsabile dell'attività di intermediazione;
6025;A000050100;A000318287;Responsabile dell'attività di intermediazione;
6026;A000067463;A000079985;Responsabile dell'attività di intermediazione;
6027;A000081524;A000012675;Responsabile dell'attività di intermediazione;
6028;A000107282;A000261216;Responsabile dell'attività di intermediazione;
6029;A000007280;A000049361;Responsabile dell'attività di intermediazione;
6030;A000369952;A000520990;Responsabile dell'attività di intermediazione;
6031;A000141013;A000157864;Responsabile dell'attività di intermediazione;
6032;B000056839;B000070946;Responsabile dell'attività di intermediazione;
6033;A000008980;A000582933;Responsabile dell'attività di intermediazione;
6034;A000101589;A000157706;Responsabile dell'attività di intermediazione;
6035;B000068329;B000323054;Responsabile dell'attività di intermediazione;
6036;A000571713;A000570418;Responsabile dell'attività di intermediazione;
6037;A000204718;A000538808;Responsabile dell'attività di intermediazione;
6038;B000378584;B000616552;Responsabile dell'attività di intermediazione;
6039;B000116217;B000097212;Responsabile dell'attività di intermediazione;
6040;A000190201;A000114781;Responsabile dell'attività di intermediazione;
6041;A000116642;A000610053;Responsabile dell'attività di intermediazione;
6042;B000115635;B000357171;Rappresentante Legale;
6043;A000010666;A000498377;Responsabile dell'attività di intermediazione;
6044;B000143035;B000083415;Rappresentante Legale;
6045;A000006540;A000060567;Responsabile dell'attività di intermediazione;
6046;B000127979;B000380180;Responsabile dell'attività di intermediazione;
6047;A000000895;A000669980;Responsabile dell'attività di intermediazione;
6048;B000132114;B000154864;Amministratore Delegato;
6049;B000107275;B000050558;Rappresentante Legale;
6050;B000133494;B000514298;Responsabile dell'attività di intermediazione;
6051;A000005153;A000326950;Responsabile dell'attività di intermediazione;
6052;B000134171;B000799524;Rappresentante Legale;
6053;B000073443;B000141525;Responsabile dell'attività di intermediazione;
6054;B000387395;B000806091;Responsabile dell'attività di intermediazione;
6055;B000387395;B000806091;Amministratore Delegato;
6056;B000721439;B000114899;Rappresentante Legale;
6057;B000134226;B000050424;Responsabile dell'attività di intermediazione;
6058;B000132457;B000600486;Responsabile dell'attività di intermediazione;
6059;B000132457;B000600486;Rappresentante Legale;
6060;A000393226;A000769552;Responsabile dell'attività di intermediazione;
6061;A000129969;A000406797;Responsabile dell'attività di intermediazione;
6062;A000109036;A000791840;Responsabile dell'attività di intermediazione;
6063;A000003433;A000012186;Responsabile dell'attività di intermediazione;
6064;B000348482;B000014424;Amministratore Delegato;
6065;A000130938;A000690120;Responsabile dell'attività di intermediazione;
6066;A000049853;A000187114;Responsabile dell'attività di intermediazione;
6067;B000393579;B000117871;Responsabile dell'attività di intermediazione;
6068;B000241353;B000114899;Responsabile dell'attività di intermediazione;
6069;B000396914;B000066743;Responsabile dell'attività di intermediazione;
6070;A000118716;A000523157;Responsabile dell'attività di intermediazione;
6071;B000396980;B000167987;Responsabile dell'attività di intermediazione;
6072;A000179319;A000179313;Responsabile dell'attività di intermediazione;
6073;A000005574;A000438463;Responsabile dell'attività di intermediazione;
6074;A000146403;A000435346;Responsabile dell'attività di intermediazione;
6075;A000805956;A000809350;Responsabile dell'attività di intermediazione;
6076;B000049502;B000418375;Rappresentante Legale;
6077;A000090964;A000329612;Responsabile dell'attività di intermediazione;
6078;A000644551;A000744888;Responsabile dell'attività di intermediazione;
6079;A000340338;A000672323;Responsabile dell'attività di intermediazione;
6080;A000140099;A000603530;Responsabile dell'attività di intermediazione;
6081;A000074031;A000055506;Responsabile dell'attività di intermediazione;
6082;B000121000;B000508311;Rappresentante Legale;
6083;A000010012;A000748233;Responsabile dell'attività di intermediazione;
6084;A000066036;A000465251;Responsabile dell'attività di intermediazione;
6085;A000743009;A000725812;Responsabile dell'attività di intermediazione;
6086;B000124389;B000320441;Rappresentante Legale;
6087;A000132751;A000132752;Responsabile dell'attività di intermediazione;
6088;B000147698;B000482879;Rappresentante Legale;
6089;A000134223;A000218010;Responsabile dell'attività di intermediazione;
6090;A000075955;A000343780;Responsabile dell'attività di intermediazione;
6091;A000084982;A000069628;Responsabile dell'attività di intermediazione;
6092;A000077607;A000429176;Responsabile dell'attività di intermediazione;
6093;A000155610;A000699608;Responsabile dell'attività di intermediazione;
6094;B000082825;B000460282;Responsabile dell'attività di intermediazione;
6095;A000067581;A000818965;Responsabile dell'attività di intermediazione;
6096;A000371478;A000401004;Responsabile dell'attività di intermediazione;
6097;A000008021;A000173548;Responsabile dell'attività di intermediazione;
6098;A000083432;A000188335;Responsabile dell'attività di intermediazione;
6099;A000204809;A000441722;Responsabile dell'attività di intermediazione;
6100;B000097186;B000114899;Responsabile dell'attività di intermediazione;
6101;A000098242;A000593523;Responsabile dell'attività di intermediazione;
6102;A000064735;A000160891;Responsabile dell'attività di intermediazione;
6103;B000116104;B000294187;Responsabile dell'attività di intermediazione;
6104;A000002511;A000060258;Responsabile dell'attività di intermediazione;
6105;A000158148;A000465251;Responsabile dell'attività di intermediazione;
6106;A000156345;A000426562;Responsabile dell'attività di intermediazione;
6107;A000121352;A000121387;Responsabile dell'attività di intermediazione;
6108;B000013731;B000190757;Responsabile dell'attività di intermediazione;
6109;B000013188;B000055861;Responsabile dell'attività di intermediazione;
6110;A000307204;A000699634;Responsabile dell'attività di intermediazione;
6111;B000115819;B000335163;Responsabile dell'attività di intermediazione;
6112;B000115819;B000335163;Rappresentante Legale;
6113;B000013795;B000058936;Rappresentante Legale;
6114;B000117439;B000190757;Responsabile dell'attività di intermediazione;
6115;A000096553;A000776892;Responsabile dell'attività di intermediazione;
6116;A000068199;A000068213;Responsabile dell'attività di intermediazione;
6117;A000003228;A000055506;Responsabile dell'attività di intermediazione;
6118;A000127889;A000101736;Responsabile dell'attività di intermediazione;
6119;A000190503;A000137110;Responsabile dell'attività di intermediazione;
6120;A000009021;A000449690;Responsabile dell'attività di intermediazione;
6121;B000066949;B000403966;Rappresentante Legale;
6122;A000086033;A000446043;Responsabile dell'attività di intermediazione;
6123;A000121200;A000451839;Responsabile dell'attività di intermediazione;
6124;A000085665;A000086149;Responsabile dell'attività di intermediazione;
6125;A000064404;A000438559;Responsabile dell'attività di intermediazione;
6126;A000428193;A000234510;Responsabile dell'attività di intermediazione;
6127;A000580792;A000349250;Responsabile dell'attività di intermediazione;
6128;A000134193;A000283895;Responsabile dell'attività di intermediazione;
6129;A000143746;A000435366;Responsabile dell'attività di intermediazione;
6130;A000188526;A000141519;Responsabile dell'attività di intermediazione;
6131;B000302909;B000729700;Amministratore Delegato;
6132;A000179766;A000367288;Responsabile dell'attività di intermediazione;
6133;A000124063;A000330566;Responsabile dell'attività di intermediazione;
6134;A000072275;A000742151;Responsabile dell'attività di intermediazione;
6135;B000430598;B000055861;Responsabile dell'attività di intermediazione;
6136;A000005843;A000074429;Responsabile dell'attività di intermediazione;
6137;A000158909;A000243124;Responsabile dell'attività di intermediazione;
6138;A000167989;A000684165;Responsabile dell'attività di intermediazione;
6139;B000167724;B000368170;Amministratore Delegato;
6140;A000076277;A000173670;Responsabile dell'attività di intermediazione;
6141;B000430772;B000014410;Responsabile dell'attività di intermediazione;
6142;A000147141;A000537056;Responsabile dell'attività di intermediazione;
6143;A000158690;A000187149;Responsabile dell'attività di intermediazione;
6144;A000130481;A000012122;Responsabile dell'attività di intermediazione;
6145;A000126854;A000559760;Responsabile dell'attività di intermediazione;
6146;B000109911;B000410042;Responsabile dell'attività di intermediazione;
6147;B000133772;B000132940;Responsabile dell'attività di intermediazione;
6148;A000010700;A000114122;Responsabile dell'attività di intermediazione;
6149;A000173010;A000780072;Responsabile dell'attività di intermediazione;
6150;A000103664;A000729610;Responsabile dell'attività di intermediazione;
6151;B000074665;B000438661;Responsabile dell'attività di intermediazione;
6152;B000204812;B000648880;Rappresentante Legale;
6153;A000053652;A000768230;Responsabile dell'attività di intermediazione;
6154;A000162915;A000484077;Responsabile dell'attività di intermediazione;
6155;A000002514;A000080462;Responsabile dell'attività di intermediazione;
6156;A000076502;A000074477;Responsabile dell'attività di intermediazione;
6157;A000190752;A000623874;Responsabile dell'attività di intermediazione;
6158;A000075556;A000640135;Responsabile dell'attività di intermediazione;
6159;A000010367;A000011896;Responsabile dell'attività di intermediazione;
6160;A000115799;A000444877;Responsabile dell'attività di intermediazione;
6161;A000005892;A000700690;Responsabile dell'attività di intermediazione;
6162;B000083890;B000052525;Responsabile dell'attività di intermediazione;
6163;B000451593;B000425173;Rappresentante Legale;
6164;A000073912;A000188335;Responsabile dell'attività di intermediazione;
6165;A000010495;A000635421;Responsabile dell'attività di intermediazione;
6166;A000063484;A000691112;Responsabile dell'attività di intermediazione;
6167;A000065393;A000517128;Responsabile dell'attività di intermediazione;
6168;A000099110;A000828503;Responsabile dell'attività di intermediazione;
6169;B000671964;B000710685;Responsabile dell'attività di intermediazione;
6170;A000427066;A000453187;Responsabile dell'attività di intermediazione;
6171;A000762656;A000764065;Responsabile dell'attività di intermediazione;
6172;A000121679;A000401143;Responsabile dell'attività di intermediazione;
6173;A000116931;A000458927;Responsabile dell'attività di intermediazione;
6174;A000456918;A000169084;Responsabile dell'attività di intermediazione;
6175;A000765837;A000766796;Responsabile dell'attività di intermediazione;
6176;A000104449;A000599198;Responsabile dell'attività di intermediazione;
6177;A000006565;A000744958;Responsabile dell'attività di intermediazione;
6178;A000108760;A000108774;Responsabile dell'attività di intermediazione;
6179;A000097184;A000669429;Responsabile dell'attività di intermediazione;
6180;B000458883;B000075441;Rappresentante Legale;
6181;B000458883;B000075441;Amministratore Delegato;
6182;A000183013;A000442100;Responsabile dell'attività di intermediazione;
6183;A000167464;A000756585;Responsabile dell'attività di intermediazione;
6184;B000170155;B000163666;Responsabile dell'attività di intermediazione;
6185;B000271573;B000271572;Amministratore Delegato;
6186;A000123891;A000198554;Responsabile dell'attività di intermediazione;
6187;B000079958;B000548946;Responsabile dell'attività di intermediazione;
6188;A000160867;A000688415;Responsabile dell'attività di intermediazione;
6189;A000143891;A000234510;Responsabile dell'attività di intermediazione;
6190;A000163212;A000465510;Responsabile dell'attività di intermediazione;
6191;B000005062;B000350193;Responsabile dell'attività di intermediazione;
6192;B000119158;B000119157;Rappresentante Legale;
6193;A000081232;A000565662;Responsabile dell'attività di intermediazione;
6194;B000004954;B000231653;Rappresentante Legale;
6195;A000621957;A000284847;Responsabile dell'attività di intermediazione;
6196;A000482444;A000558398;Responsabile dell'attività di intermediazione;
6197;B000484455;B000532057;Responsabile dell'attività di intermediazione;
6198;A000009344;A000613627;Responsabile dell'attività di intermediazione;
6199;A000006388;A000551302;Responsabile dell'attività di intermediazione;
6200;A000166300;A000427558;Responsabile dell'attività di intermediazione;
6201;A000126178;A000564972;Responsabile dell'attività di intermediazione;
6202;A000058946;A000255416;Responsabile dell'attività di intermediazione;
6203;A000122857;A000282295;Responsabile dell'attività di intermediazione;
6204;B000724488;B000369442;Rappresentante Legale;
6205;A000081030;A000081029;Responsabile dell'attività di intermediazione;
6206;A000609280;A000482226;Responsabile dell'attività di intermediazione;
6207;A000290942;A000127699;Responsabile dell'attività di intermediazione;
6208;B000664593;B000821726;Rappresentante Legale;
6209;B000013831;B000057587;Responsabile dell'attività di intermediazione;
6210;B000061104;B000548946;Responsabile dell'attività di intermediazione;
6211;B000072847;B000529578;Responsabile dell'attività di intermediazione;
6212;B000097164;B000678069;Responsabile dell'attività di intermediazione;
6213;B000133902;B000387306;Responsabile dell'attività di intermediazione;
6214;A000079178;A000731106;Responsabile dell'attività di intermediazione;
6215;B000083025;B000302472;Responsabile dell'attività di intermediazione;
6216;A000061740;A000601242;Responsabile dell'attività di intermediazione;
6217;A000004955;A000012948;Responsabile dell'attività di intermediazione;
6218;A000497073;A000797264;Responsabile dell'attività di intermediazione;
6219;A000497941;A000496164;Responsabile dell'attività di intermediazione;
6220;A000077340;A000268727;Responsabile dell'attività di intermediazione;
6221;B000063445;B000117871;Responsabile dell'attività di intermediazione;
6222;A000164827;A000279109;Responsabile dell'attività di intermediazione;
6223;A000371780;A000487515;Responsabile dell'attività di intermediazione;
6224;A000122664;A000407052;Responsabile dell'attività di intermediazione;
6225;A000127547;A000314360;Responsabile dell'attività di intermediazione;
6226;A000131814;A000532011;Responsabile dell'attività di intermediazione;
6227;A000116256;A000458369;Responsabile dell'attività di intermediazione;
6228;A000107104;A000438507;Responsabile dell'attività di intermediazione;
6229;A000505806;A000511477;Responsabile dell'attività di intermediazione;
6230;A000326499;A000192578;Responsabile dell'attività di intermediazione;
6231;A000118481;A000260742;Responsabile dell'attività di intermediazione;
6232;A000532244;A000806569;Responsabile dell'attività di intermediazione;
6233;A000508808;A000797887;Responsabile dell'attività di intermediazione;
6234;B000111102;B000488556;Rappresentante Legale;
6235;A000005570;A000685915;Responsabile dell'attività di intermediazione;
6236;A000252909;A000012739;Responsabile dell'attività di intermediazione;
6237;B000122555;B000584193;Responsabile dell'attività di intermediazione;
6238;B000122555;B000584193;Rappresentante Legale;
6239;A000004980;A000335995;Responsabile dell'attività di intermediazione;
6240;B000128480;B000497424;Responsabile dell'attività di intermediazione;
6241;A000088261;A000616285;Responsabile dell'attività di intermediazione;
6242;B000065478;B000114899;Responsabile dell'attività di intermediazione;
6243;B000014101;B000114899;Responsabile dell'attività di intermediazione;
6244;B000014085;B000099633;Responsabile dell'attività di intermediazione;
6245;B000013220;B000114899;Responsabile dell'attività di intermediazione;
6246;A000062278;A000062293;Responsabile dell'attività di intermediazione;
6247;A000114684;A000114686;Responsabile dell'attività di intermediazione;
6248;B000438116;B000624720;Responsabile dell'attività di intermediazione;
6249;A000297218;A000099701;Responsabile dell'attività di intermediazione;
6250;A000513799;A000665904;Responsabile dell'attività di intermediazione;
6251;A000203986;A000553165;Responsabile dell'attività di intermediazione;
6252;A000513810;A000813900;Responsabile dell'attività di intermediazione;
6253;B000120049;B000055244;Amministratore Delegato;
6254;B000375252;B000487593;Responsabile dell'attività di intermediazione;
6255;B000375252;B000798010;Responsabile dell'attività di intermediazione;
6256;A000516975;A000793247;Responsabile dell'attività di intermediazione;
6257;A000672645;A000677695;Responsabile dell'attività di intermediazione;
6258;A000004365;A000012302;Responsabile dell'attività di intermediazione;
6259;A000071768;A000079368;Responsabile dell'attività di intermediazione;
6260;A000005389;A000012430;Responsabile dell'attività di intermediazione;
6261;A000001379;A000622717;Responsabile dell'attività di intermediazione;
6262;A000111099;A000661414;Responsabile dell'attività di intermediazione;
6263;B000256182;B000550376;Rappresentante Legale;
6264;B000256182;B000550376;Amministratore Delegato;
6265;B000444488;B000558613;Rappresentante Legale;
6266;A000163269;A000556468;Responsabile dell'attività di intermediazione;
6267;A000145778;A000088022;Responsabile dell'attività di intermediazione;
6268;A000052243;A000057608;Responsabile dell'attività di intermediazione;
6269;B000236434;B000516620;Responsabile dell'attività di intermediazione;
6270;B000236434;B000516620;Rappresentante Legale;
6271;B000522698;B000051119;Responsabile dell'attività di intermediazione;
6272;A000090684;A000326775;Responsabile dell'attività di intermediazione;
6273;A000527983;A000058627;Responsabile dell'attività di intermediazione;
6274;A000528075;A000691050;Responsabile dell'attività di intermediazione;
6275;A000144005;A000742006;Responsabile dell'attività di intermediazione;
6276;A000130937;A000438285;Responsabile dell'attività di intermediazione;
6277;A000194897;A000323497;Responsabile dell'attività di intermediazione;
6278;A000779091;A000700958;Responsabile dell'attività di intermediazione;
6279;B000497298;B000245478;Amministratore Delegato;
6280;B000168212;B000173524;Responsabile dell'attività di intermediazione;
6281;B000099663;B000098669;Rappresentante Legale;
