OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
106;A000683305;A000183417;Responsabile dell'attività di intermediazione;
107;A000763290;A000766913;Responsabile dell'attività di intermediazione;
108;B000203377;B000121410;Rappresentante Legale;
109;A000234414;A000818531;Responsabile dell'attività di intermediazione;
110;B000203247;B000762006;Responsabile dell'attività di intermediazione;
111;A000090175;A000814659;Responsabile dell'attività di intermediazione;
112;A000205324;A000166397;Responsabile dell'attività di intermediazione;
113;A000589945;A000791009;Responsabile dell'attività di intermediazione;
114;A000265232;A000810201;Responsabile dell'attività di intermediazione;
115;A000003284;A000561587;Responsabile dell'attività di intermediazione;
116;A000388590;A000815041;Responsabile dell'attività di intermediazione;
117;A000765348;A000767253;Responsabile dell'attività di intermediazione;
118;A000297958;A000782828;Responsabile dell'attività di intermediazione;
119;A000771199;A000772252;Responsabile dell'attività di intermediazione;
120;A000205403;A000790513;Responsabile dell'attività di intermediazione;
121;B000654207;B000054892;Responsabile dell'attività di intermediazione;
122;A000107786;A000413408;Responsabile dell'attività di intermediazione;
123;A000028375;A000594182;Responsabile dell'attività di intermediazione;
124;A000139815;A000012219;Responsabile dell'attività di intermediazione;
125;A000108610;A000480433;Responsabile dell'attività di intermediazione;
126;A000055753;A000548635;Responsabile dell'attività di intermediazione;
127;B000190066;B000055861;Responsabile dell'attività di intermediazione;
128;A000542462;A000630409;Responsabile dell'attività di intermediazione;
129;A000046475;A000458870;Responsabile dell'attività di intermediazione;
130;A000056059;A000394773;Responsabile dell'attività di intermediazione;
131;A000181822;A000696058;Responsabile dell'attività di intermediazione;
132;A000250067;A000157653;Responsabile dell'attività di intermediazione;
133;A000306669;A000607877;Responsabile dell'attività di intermediazione;
134;B000430566;B000306598;Responsabile dell'attività di intermediazione;
135;B000713620;B000533295;Rappresentante Legale;
136;A000326609;A000815237;Responsabile dell'attività di intermediazione;
137;A000643688;A000011889;Responsabile dell'attività di intermediazione;
138;A000100412;A000100396;Responsabile dell'attività di intermediazione;
139;A000181676;A000684165;Responsabile dell'attività di intermediazione;
140;A000181695;A000181985;Responsabile dell'attività di intermediazione;
141;A000082423;A000111348;Responsabile dell'attività di intermediazione;
142;A000154200;A000167694;Responsabile dell'attività di intermediazione;
143;A000101529;A000114999;Responsabile dell'attività di intermediazione;
144;A000117662;A000117603;Responsabile dell'attività di intermediazione;
145;A000134335;A000529577;Responsabile dell'attività di intermediazione;
146;A000802196;A000680795;Responsabile dell'attività di intermediazione;
147;A000068671;A000099305;Responsabile dell'attività di intermediazione;
148;A000068679;A000068691;Responsabile dell'attività di intermediazione;
149;A000168382;A000173831;Responsabile dell'attività di intermediazione;
150;A000009976;A000192219;Responsabile dell'attività di intermediazione;
151;A000082090;A000721675;Responsabile dell'attività di intermediazione;
152;A000085188;A000118176;Responsabile dell'attività di intermediazione;
153;A000101114;A000657607;Responsabile dell'attività di intermediazione;
154;A000068246;A000068231;Responsabile dell'attività di intermediazione;
155;A000174117;A000169454;Responsabile dell'attività di intermediazione;
156;A000165039;A000540879;Responsabile dell'attività di intermediazione;
157;A000160610;A000273144;Responsabile dell'attività di intermediazione;
158;A000165230;A000366712;Responsabile dell'attività di intermediazione;
159;A000165239;A000185422;Responsabile dell'attività di intermediazione;
160;A000164933;A000158952;Responsabile dell'attività di intermediazione;
161;A000067077;A000067075;Responsabile dell'attività di intermediazione;
162;A000133980;A000133060;Responsabile dell'attività di intermediazione;
163;A000009486;A000231659;Responsabile dell'attività di intermediazione;
